Salary;Work_Type;Company_Size;Role;Company;percent
48800;Контракт;72807;Координатор мероприятий;Tullow Oil;101.66666666666666
49600;полная занятость;130966; руководитель отдела по работе с клиентами;Qualcomm;100.0
51200;контракт;102861;консультант по продажам B2B;AutoNation;108.28633405639914
47200;неполный рабочий день;86718;разработчик баз данных;Peter Kiewit Sons;96.85362517099863
44800;контракт;120930;менеджер строительных проектов;General Mills;94.75054229934923
48000;полный рабочий день;16792;менеджер по социальным сетям;Western Digital;102.45464247598719
48000;Полная занятость;25307;Instructional Designer;PNC Financial Services Group;99.77827050997783
48800;частичная занятость;50004;контент-стратег;Farmers Insurance Exchange;101.66666666666666
52000;стажер;106859;координатор обучения;CIMIC Group;106.81679853925745
52000;Временная;15831;Координатор по подбору персонала;Alibaba Health Information Technology;106.55737704918033
52000;неполный рабочий день;56816;менеджер по стратегическим партнерствам;Tenet Healthcare;106.703146374829
50400;Стажер;43783; Java бэкэнд разработчик;Exelon;105.32915360501566
51200;неполный рабочий день;32405;руководитель группы продаж;SAP SE;105.06155950752394
50400;временная;88586;детский логопед;IBM (International Business Machines Corporation);103.64806866952789
44000;контракт;18697;инженер по большим данным;Fidelity Investments;93.058568329718
50400;стажер;12938;инженер по базам данных NoSQL;Intercontinental Exchange;103.53012781497262
44800;стажер;28874;планировщик спроса;Power Grid Corporation of India;92.02678027997565
48000;стажер;88454;свадебный дизайнер;Consolidated Edison;98.60012172854535
48000;неполный рабочий день;75509;организатор мероприятий;Northrop Grumman;98.49521203830369
48000;полный рабочий день;70223;техник по поддержке настольных компьютеров;Corteva;102.45464247598719
44000;стажер;24942;портфельный менеджер;Icahn Enterprises;90.38344491783323
49600;контракт;19832;гериатрическая медсестра-практикант;Colgate-Palmolive;104.90238611713667
46400;временная;44367;JavaScript разработчик;SF Express;95.42203147353364
44000;контракт;114433;менеджер по работе с клиентами;Huntsman;93.058568329718
47200;стажер;79091;координатор закупок;Dover;96.95678636640292
52000;частичная занятость;69645;инженер по большим данным;Lendlease Group;108.33333333333333
45600;Полная занятость;108139;Специалист по планированию перевозок;Asbury Automotive Group;94.78935698447894
52000;Полная занятость;54319;менеджер по работе с ключевыми клиентами;TD Ameritrade Holding Corporation;108.09312638580933
45600;временный;126754;логопед для взрослых;Britannia Industries;95.15859766277129
44800;Контракт;126200;Координатор льгот;Muthoot Finance;93.33333333333333
49600;контракт;57845;дизайнер интерьера;Dana;104.90238611713667
44800;полный рабочий день;127707;инвестиционный аналитик;Aflac;95.62433297758804
44800;стажер;67492;менеджер кампаний по электронной почте;Quanta Services;92.02678027997565
48800;контракт;105454;специалист по устойчивому развитию;Ashtead Group;103.21041214750541
48000;частичная занятость;67760; Разработчик серверных приложений;Glenmark Pharmaceuticals;100.0
46400;полный рабочий день;31344;системный администратор;Eastman Chemical;99.03948772678763
48000;неполный рабочий день;35925;инженер-проектировщик;Carnival Corporation & plc;98.49521203830369
50400;временная;125215;координатор маркетинговых исследований;Adani Green Energy;103.64806866952789
44000;контракт;102180;агент колл-центра;Textron;93.058568329718
44800;Временная;28776;Менеджер по работе с клиентами;Fiat Chrysler Automobiles N.V.;91.80327868852459
48800;Полная занятость;98633;Дизайнер по охране окружающей среды;Газировка;101.44124168514412
48000;контракт;50314;менеджер по работе с клиентами; BYD Company;101.51843817787419
49600; Полная занятость;44564;Дизайнер пользовательского интерфейса; Delta Air Lines;101.08695652173914
50400;временный;90785;IT бизнес-аналитик;Kinder Morgan;105.17529215358931
48800;стажер;42637;дизайнер интерфейсов;Avnet;100.24345709068776
44800;контракт;116311;аналитик социальных сетей;Workspace Group;94.75054229934923
48000;временный;55939;Дизайнер пользовательского интерфейса;CDW;100.1669449081803
50400;Стажер;68931;JavaScript разработчик;Tencent Holdings;105.32915360501566
52000;контракт;17240;юрист по вопросам опеки над детьми;Halma;109.97830802603036
47200;временная;126334;инженер беспроводных сетей;Lendlease Group;97.06723891273248
46400;Стажер;97779; специалист по анализу данных;AES;96.96969696969697
48800;контракт;123227;дизайнер взаимодействия;LKQ;103.21041214750541
49600;временный;104205;специалист по клинической медсестре;Bajaj Auto;103.50584307178632
47200;контракт;110052;юрист по опеке над детьми;Salesforce;99.82646420824295
47200;контракт;16918;юридический секретарь;Siemens India;99.82646420824295
52000;Стажер;124651;Бренд-менеджер по продукции;NextEra Energy;108.67293625914316
48000;стажер;108319;аналитик по контролю качества;Computacenter;98.60012172854535
52000;Полная занятость;31928; Специалист по анализу данных;ВК;108.09312638580933
47200;контракт;132326;Sales Account Executive;Hershey;99.82646420824295
52000;временная;55283;инженер по системам электропитания;TAG Immobilien AG;106.93848354792561
50400;Полная занятость;128578;Специалист по сетевой безопасности;Блок;104.76718403547673
44800;Полная занятость;78913; Менеджер по работе с клиентами;Linde plc;93.12638580931264
47200;неполный рабочий день;48567;дизайнер коммерческого интерьера;Nucor;96.85362517099863
44800;временная;130176;консультант по работе с зависимыми людьми;Gree Electric Appliances;92.13161659513591
47200;стажер;33129;архитектор облачных вычислений;DCP Midstream;96.95678636640292
48000; Полная занятость;21839;бизнес-аналитик данных;Balfour Beatty;97.82608695652173
44800;контракт;131126;координатор цепочки поставок;Ameriprise Financial;94.75054229934923
47200;неполный рабочий день;76529;разработчик мобильных приложений;Банковская группа;96.85362517099863
48000;контракт;49446;директор по уходу за больными;MetLife;101.51843817787419
52000;полный рабочий день;56862;ветеринар мелких животных;American Tower;110.99252934898614
49600;контракт;33592;инженер-химик;Expedia Group;104.90238611713667
49600;временная;90814;аналитик по исследованию рынка;Archer Daniels Midland;102.00286123032905
45600;контракт;34509;менеджер по инфраструктуре;Steel Dynamics;96.44251626898048
44800;Полная занятость;29841;QA Tester;Nestle India;93.12638580931264
44000;Стажер;72707;Аналитик по логистике;Playtech;91.95402298850574
48800;стажер;59984;менеджер ИТ-проектов;Uber Technologies;100.24345709068776
51200;временная;57908;менеджер по контролю качества;Графическая упаковка;105.29327610872676
52000;Неполный рабочий день;14167;Менеджер по работе с клиентами;Jubilant Foodworks;101.5625
50400;Временная;122077; Веб-разработчик; AGCO;103.27868852459017
48800;временная;72890;разработчик баз данных;Diageo;100.35765379113019
50400;Неполный рабочий день;51195;Юридический секретарь;Continental Resources;98.4375
44000;неполный рабочий день;118838;специалист по продажам медицинских услуг;Eversource Energy;90.28727770177838
44800;полный рабочий день;118067;офисный координатор;Аэрофлот;95.62433297758804
44000;контракт;35498;дизайнер взаимодействия;Avantor;93.058568329718
45600;стажер;76972;дизайнер взаимодействия;Здоровье;93.67011564211808
44800;контракт;37063;представитель по внутренним продажам;BHEL;94.75054229934923
47200;полный рабочий день;37773;испытатель автоматики;Marathon Oil;100.7470651013874
48800;временный;40994;Дизайнер пользовательского интерфейса;Geely Automobile Holdings;101.83639398998329
49600; Полная занятость;77933;менеджер по работе с клиентами;Williams;101.08695652173914
48800;временная;84357;архитектор проектов;AES;100.35765379113019
45600; частичная занятость;86636;менеджер по обеспечению качества обслуживания;Sun Pharmaceutical Industries;101.78571428571428
47200;неполный рабочий день;130927;тестировщик производительности;Burberry Group;96.85362517099863
